short_district,province,district_level
Hưng Nguyên,Nghệ An,
Hưng Yên,Hưng Yên,thành phố
Hướng Hóa,Quảng Trị,
Hương Khê,Hà Tĩnh,
Hương Sơn,Hà Tĩnh,
Hương Thủy,Thừa Thiên Huế,thị xã
Hương Trà,Thừa Thiên Huế,thị xã
Hữu Lũng,Lạng Sơn,
Ia Grai,Gia Lai,
Ia H'Drai,Kon Tum,
Ia Pa,Gia Lai,
Kbang,Gia Lai,
Kế Sách,Sóc Trăng,
Khánh Sơn,Khánh Hòa,
Khánh Vĩnh,Khánh Hòa,
Khoái Châu,Hưng Yên,
Kiến An,Hải Phòng,quận
Kiên Hải,Kiên Giang,huyện đảo
Kiên Lương,Kiên Giang,
Kiến Thụy,Hải Phòng,
Kiến Tường,Long An,thị xã
Kiến Xương,Thái Bình,
Kim Bảng,Hà Nam,
Kim Bôi,Hòa Bình,
Kim Động,Hưng Yên,
Kim Sơn,Ninh Bình,
Kim Thành,Hải Dương,
Kinh Môn,Hải Dương,thị xã
Kon Plông,Kon Tum,
Kon Rẫy,Kon Tum,
Kon Tum,Kon Tum,thành phố
Kông Chro,Gia Lai,
Krông Ana,Đắk Lắk,
Krông Bông,Đắk Lắk,
Krông Búk,Đắk Lắk,
Krông Năng,Đắk Lắk,
Krông Nô,Đắk Nông,
Krông Pa,Gia Lai,
Krông Pắc,Đắk Lắk,
Kỳ Anh,Hà Tĩnh,thị xã
Kỳ Anh,Hà Tĩnh,
Kỳ Sơn,Nghệ An,
La Gi,Bình Thuận,thị xã
Lạc Dương,Lâm Đồng,
Lạc Sơn,Hòa Bình,
Lạc Thủy,Hòa Bình,
Lai Châu,Lai Châu,thành phố
Lai Vung,Đồng Tháp,
Lắk,Đắk Lắk,
Lâm Bình,Tuyên Quang,
Lâm Hà,Lâm Đồng,
Lâm Thao,Phú Thọ,
Lang Chánh,Thanh Hóa,
Lạng Giang,Bắc Giang,
Lạng Sơn,Lạng Sơn,thành phố
Lào Cai,Lào Cai,thành phố
Lập Thạch,Vĩnh Phúc,
Lấp Vò,Đồng Tháp,
Lê Chân,Hải Phòng,quận
Lệ Thủy,Quảng Bình,
Liên Chiểu,Đà Nẵng,quận
Lộc Bình,Lạng Sơn,
Lộc Hà,Hà Tĩnh,
Lộc Ninh,Bình Phước,
Long Biên,Hà Nội,quận
Long Điền,Bà Rịa – Vũng Tàu,
Long Hồ,Vĩnh Long,
Long Khánh,Đồng Nai,thành phố
Long Mỹ,Hậu Giang,thị xã
Long Mỹ,Hậu Giang,
Long Phú,Sóc Trăng,
Long Thành,Đồng Nai,
Long Xuyên,An Giang,thành phố
Lục Nam,Bắc Giang,
Lục Ngạn,Bắc Giang,
Lục Yên,Yên Bái,
Lương Sơn,Hòa Bình,
Lương Tài,Bắc Ninh,
Lý Nhân,Hà Nam,
Lý Sơn,Quảng Ngãi,huyện đảo
M'Drắk,Đắk Lắk,
Mai Châu,Hòa Bình,
Mai Sơn,Sơn La,
Mang Thít,Vĩnh Long,
Mang Yang,Gia Lai,
Mê Linh,Hà Nội,
Mèo Vạc,Hà Giang,
Minh Hóa,Quảng Bình,
Minh Long,Quảng Ngãi,
Mỏ Cày Bắc,Bến Tre,
Mỏ Cày Nam,Bến Tre,
Mộ Đức,Quảng Ngãi,
Mộc Châu,Sơn La,
Mộc Hóa,Long An,
Móng Cái,Quảng Ninh,thành phố
Mù Cang Chải,Yên Bái,
Mường Ảng,Điện Biên,
Mường Chà,Điện Biên,
Mường Khương,Lào Cai,
Mường La,Sơn La,
Mường Lát,Thanh Hóa,
Mường Lay,Điện Biên,thị xã
Mường Nhé,Điện Biên,
Mường Tè,Lai Châu,
Mỹ Đức,Hà Nội,
Mỹ Hào,Hưng Yên,thị xã
Mỹ Tho,Tiền Giang,thành phố
Mỹ Tú,Sóc Trăng,
Mỹ Xuyên,Sóc Trăng,
Na Hang,Tuyên Quang,
Na Rì,Bắc Kạn,
Năm Căn,Cà Mau,
Nam Đàn,Nghệ An,
Nam Định,Nam Định,thành phố
Nam Đông,Thừa Thiên Huế,
Nam Giang,Quảng Nam,
Nậm Nhùn,Lai Châu,
Nậm Pồ,Điện Biên,
Nam Sách,Hải Dương,
Nam Trà My,Quảng Nam,
Nam Trực,Nam Định,
Nam Từ Liêm,Hà Nội,quận
Ngã Bảy,Hậu Giang,thành phố
Ngã Năm,Sóc Trăng,thị xã
Nga Sơn,Thanh Hóa,
Ngân Sơn,Bắc Kạn,
Nghi Lộc,Nghệ An,
Nghi Sơn,Thanh Hóa,thị xã
Nghi Xuân,Hà Tĩnh,
Nghĩa Đàn,Nghệ An,
Nghĩa Hành,Quảng Ngãi,
Nghĩa Hưng,Nam Định,
Nghĩa Lộ,Yên Bái,thị xã
Ngô Quyền,Hải Phòng,quận
Ngọc Hiển,Cà Mau,
Ngọc Hồi,Kon Tum,
Ngọc Lặc,Thanh Hóa,
Ngũ Hành Sơn,Đà Nẵng,quận
Nguyên Bình,Cao Bằng,
Nhà Bè,Thành phố Hồ Chí Minh,
Nha Trang,Khánh Hòa,thành phố
Nho Quan,Ninh Bình,
Nhơn Trạch,Đồng Nai,
Như Thanh,Thanh Hóa,
Như Xuân,Thanh Hóa,
Ninh Bình,Ninh Bình,thành phố
Ninh Giang,Hải Dương,
Ninh Hải,Ninh Thuận,
Ninh Hòa,Khánh Hòa,thị xã
Ninh Kiều,Cần Thơ,quận
Ninh Phước,Ninh Thuận,
Ninh Sơn,Ninh Thuận,
Nông Cống,Thanh Hóa,
Nông Sơn,Quảng Nam,
Núi Thành,Quảng Nam,
Ô Môn,Cần Thơ,quận
Pác Nặm,Bắc Kạn,
Phan Rang – Tháp Chàm,Ninh Thuận,thành phố
Phan Thiết,Bình Thuận,thành phố
Phổ Yên,Thái Nguyên,thành phố
Phong Điền,Cần Thơ,
Phong Điền,Thừa Thiên Huế,
Phong Thổ,Lai Châu,
Phú Bình,Thái Nguyên,
Phù Cát,Bình Định,
Phù Cừ,Hưng Yên,
Phú Giáo,Bình Dương,
Phú Hòa,Phú Yên,
Phú Lộc,Thừa Thiên Huế,
Phú Lương,Thái Nguyên,
Phủ Lý,Hà Nam,thành phố
Phú Mỹ,Bà Rịa – Vũng Tàu,thị xã
Phù Mỹ,Bình Định,
Phú Nhuận,Thành phố Hồ Chí Minh,quận
Phú Ninh,Quảng Nam,
Phù Ninh,Phú Thọ,
Phú Quốc,Kiên Giang,thành phố
Phú Quý,Bình Thuận,huyện đảo
Phú Riềng,Bình Phước,
Phú Tân,An Giang,
Phú Tân,Cà Mau,
Phú Thiện,Gia Lai,
Phú Thọ,Phú Thọ,thị xã
Phú Vang,Thừa Thiên Huế,
Phú Xuyên,Hà Nội,
Phù Yên,Sơn La,
Phúc Thọ,Hà Nội,
Phúc Yên,Vĩnh Phúc,thành phố
Phụng Hiệp,Hậu Giang,
Phước Long,Bình Phước,thị xã
Phước Long,Bạc Liêu,
Phước Sơn,Quảng Nam,
Pleiku,Gia Lai,thành phố
Quận 1,Thành phố Hồ Chí Minh,quận
Quận 3,Thành phố Hồ Chí Minh,quận
Quận 4,Thành phố Hồ Chí Minh,quận
Quận 5,Thành phố Hồ Chí Minh,quận
Quận 6,Thành phố Hồ Chí Minh,quận
Quận 7,Thành phố Hồ Chí Minh,quận
Quận 8,Thành phố Hồ Chí Minh,quận
Quận 10,Thành phố Hồ Chí Minh,quận
Quận 11,Thành phố Hồ Chí Minh,quận
Quận 12,Thành phố Hồ Chí Minh,quận
Quản Bạ,Hà Giang,
Quan Hóa,Thanh Hóa,
Quan Sơn,Thanh Hóa,
Quang Bình,Hà Giang,
Quảng Điền,Thừa Thiên Huế,
Quảng Hòa,Cao Bằng,
Quảng Ngãi,Quảng Ngãi,thành phố
Quảng Ninh,Quảng Bình,
Quảng Trạch,Quảng Bình,
Quảng Trị,Quảng Trị,thị xã
Quảng Xương,Thanh Hóa,
Quảng Yên,Quảng Ninh,thị xã
Quế Phong,Nghệ An,
Quế Sơn,Quảng Nam,
Quế Võ,Bắc Ninh,thị xã
Quốc Oai,Hà Nội,
Quỳ Châu,Nghệ An,
Quỳ Hợp,Nghệ An,
Quy Nhơn,Bình Định,thành phố
Quỳnh Lưu,Nghệ An,
Quỳnh Nhai,Sơn La,
Quỳnh Phụ,Thái Bình,
Rạch Giá,Kiên Giang,thành phố
Sa Đéc,Đồng Tháp,thành phố
Sa Pa,Lào Cai,thị xã
Sa Thầy,Kon Tum,
Sầm Sơn,Thanh Hóa,thành phố
Si Ma Cai,Lào Cai,
Sìn Hồ,Lai Châu,
Sóc Sơn,Hà Nội,
Sóc Trăng,Sóc Trăng,thành phố
Sơn Động,Bắc Giang,
Sơn Dương,Tuyên Quang,
Sơn Hà,Quảng Ngãi,
Sơn Hòa,Phú Yên,
Sơn La,Sơn La,thành phố
Sơn Tây,Hà Nội,thị xã
Sơn Tây,Quảng Ngãi,
Sơn Tịnh,Quảng Ngãi,
Sơn Trà,Đà Nẵng,quận
Sông Cầu,Phú Yên,thị xã
Sông Công,Thái Nguyên,thành phố
Sông Hinh,Phú Yên,
Sông Lô,Vĩnh Phúc,
Sông Mã,Sơn La,
Sốp Cộp,Sơn La,
Tam Bình,Vĩnh Long,
Tam Đảo,Vĩnh Phúc,
Tam Điệp,Ninh Bình,thành phố
Tam Dương,Vĩnh Phúc,
Tam Đường,Lai Châu,
Tam Kỳ,Quảng Nam,thành phố
Tam Nông,Đồng Tháp,
Tam Nông,Phú Thọ,
Tân An,Long An,thành phố
Tân Biên,Tây Ninh,
Tân Bình,Thành phố Hồ Chí Minh,quận
Tân Châu,An Giang,thị xã
Tân Châu,Tây Ninh,
Tân Hiệp,Kiên Giang,
Tân Hồng,Đồng Tháp,
Tân Hưng,Long An,
Tân Kỳ,Nghệ An,
Tân Lạc,Hòa Bình,
Tân Phú,Thành phố Hồ Chí Minh,quận
Tân Phú,Đồng Nai,
Tân Phú Đông,Tiền Giang,
Tân Phước,Tiền Giang,
Tân Sơn,Phú Thọ,
Tân Thạnh,Long An,
Tân Trụ,Long An,
Tân Uyên,Bình Dương,thành phố
Tân Uyên,Lai Châu,
Tân Yên,Bắc Giang,
Tánh Linh,Bình Thuận,
Tây Giang,Quảng Nam,
Tây Hồ,Hà Nội,quận
Tây Hòa,Phú Yên,
Tây Ninh,Tây Ninh,thành phố
Tây Sơn,Bình Định,
Thạch An,Cao Bằng,
Thạch Hà,Hà Tĩnh,
Thạch Thành,Thanh Hóa,
Thạch Thất,Hà Nội,
Thái Bình,Thái Bình,thành phố
Thái Hòa,Nghệ An,thị xã
Thái Nguyên,Thái Nguyên,thành phố
Thái Thụy,Thái Bình,
Than Uyên,Lai Châu,
Thăng Bình,Quảng Nam,
Thanh Ba,Phú Thọ,
Thanh Bình,Đồng Tháp,
Thanh Chương,Nghệ An,
Thanh Hà,Hải Dương,
Thanh Hóa,Thanh Hóa,thành phố
Thạnh Hóa,Long An,
Thanh Khê,Đà Nẵng,quận
Thanh Liêm,Hà Nam,
Thanh Miện,Hải Dương,
Thanh Oai,Hà Nội,
Thạnh Phú,Bến Tre,
Thanh Sơn,Phú Thọ,
Thanh Thủy,Phú Thọ,
Thanh Trì,Hà Nội,
Thạnh Trị,Sóc Trăng,
Thanh Xuân,Hà Nội,quận
Tháp Mười,Đồng Tháp,
Thiệu Hóa,Thanh Hóa,
Thọ Xuân,Thanh Hóa,
Thoại Sơn,An Giang,
Thới Bình,Cà Mau,
Thới Lai,Cần Thơ,
Thống Nhất,Đồng Nai,
Thốt Nốt,Cần Thơ,quận
Thủ Dầu Một,Bình Dương,thành phố
Thủ Đức,Thành phố Hồ Chí Minh,thành phố
Thủ Thừa,Long An,
Thuận An,Bình Dương,thành phố
Thuận Bắc,Ninh Thuận,
Thuận Châu,Sơn La,
Thuận Nam,Ninh Thuận,
Thuận Thành,Bắc Ninh,thị xã
Thường Tín,Hà Nội,
Thường Xuân,Thanh Hóa,
Thủy Nguyên,Hải Phòng,
Tiên Du,Bắc Ninh,
Tiền Hải,Thái Bình,
Tiên Lãng,Hải Phòng,
Tiên Lữ,Hưng Yên,
Tiên Phước,Quảng Nam,
Tiên Yên,Quảng Ninh,
Tiểu Cần,Trà Vinh,
Tịnh Biên,An Giang,thị xã
Trà Bồng,Quảng Ngãi,
Trà Cú,Trà Vinh,
Trà Ôn,Vĩnh Long,
Trà Vinh,Trà Vinh,thành phố
Trạm Tấu,Yên Bái,
Trần Đề,Sóc Trăng,
Trần Văn Thời,Cà Mau,
Trấn Yên,Yên Bái,
Trảng Bàng,Tây Ninh,thị xã
Trảng Bom,Đồng Nai,
Tràng Định,Lạng Sơn,
Tri Tôn,An Giang,
Triệu Phong,Quảng Trị,
Triệu Sơn,Thanh Hóa,
Trực Ninh,Nam Định,
Trùng Khánh,Cao Bằng,
Trường Sa,Khánh Hòa,huyện đảo
Tứ Kỳ,Hải Dương,
Tu Mơ Rông,Kon Tum,
Tư Nghĩa,Quảng Ngãi,
Từ Sơn,Bắc Ninh,thành phố
Tủa Chùa,Điện Biên,
Tuần Giáo,Điện Biên,
Tương Dương,Nghệ An,
Tuy An,Phú Yên,
Tuy Đức,Đắk Nông,
Tuy Hòa,Phú Yên,thành phố
Tuy Phong,Bình Thuận,
Tuy Phước,Bình Định,
Tuyên Hóa,Quảng Bình,
Tuyên Quang,Tuyên Quang,thành phố
U Minh Thượng,Kiên Giang,
U Minh,Cà Mau,
Ứng Hòa,Hà Nội,
Uông Bí,Quảng Ninh,thành phố
Văn Bàn,Lào Cai,
Vân Canh,Bình Định,
Văn Chấn,Yên Bái,
Vân Đồn,Quảng Ninh,huyện đảo
Văn Giang,Hưng Yên,
Vân Hồ,Sơn La,
Văn Lâm,Hưng Yên,
Văn Lãng,Lạng Sơn,
Vạn Ninh,Khánh Hòa,
Văn Quan,Lạng Sơn,
Văn Yên,Yên Bái,
Vị Thanh,Hậu Giang,thành phố
Vị Thủy,Hậu Giang,
Vị Xuyên,Hà Giang,
Việt Trì,Phú Thọ,thành phố
Việt Yên,Bắc Giang,thị xã
Vĩnh Bảo,Hải Phòng,
Vĩnh Châu,Sóc Trăng,thị xã
Vĩnh Cửu,Đồng Nai,
Vĩnh Hưng,Long An,
Vĩnh Linh,Quảng Trị,
Vĩnh Lộc,Thanh Hóa,
Vĩnh Lợi,Bạc Liêu,
Vĩnh Long,Vĩnh Long,thành phố
Vĩnh Thạnh,Cần Thơ,
Vĩnh Thạnh,Bình Định,
Vĩnh Thuận,Kiên Giang,
Vĩnh Tường,Vĩnh Phúc,
Vĩnh Yên,Vĩnh Phúc,thành phố
Vinh,Nghệ An,thành phố
Võ Nhai,Thái Nguyên,
Vụ Bản,Nam Định,
Vũ Quang,Hà Tĩnh,
Vũ Thư,Thái Bình,
Vũng Liêm,Vĩnh Long,
Vũng Tàu,Bà Rịa – Vũng Tàu,thành phố
Xín Mần,Hà Giang,
Xuân Lộc,Đồng Nai,
Xuân Trường,Nam Định,
Xuyên Mộc,Bà Rịa – Vũng Tàu,
Ý Yên,Nam Định,
Yên Bái,Yên Bái,thành phố
Yên Bình,Yên Bái,
Yên Châu,Sơn La,
Yên Định,Thanh Hóa,
Yên Dũng,Bắc Giang,
Yên Khánh,Ninh Bình,
Yên Lạc,Vĩnh Phúc,
Yên Lập,Phú Thọ,
Yên Minh,Hà Giang,
Yên Mô,Ninh Bình,
Yên Mỹ,Hưng Yên,
Yên Phong,Bắc Ninh,
Yên Sơn,Tuyên Quang,
Yên Thành,Nghệ An,
Yên Thế,Bắc Giang,
Yên Thủy,Hòa Bình,
