district,province,level,level_english,district_long,district_english,district_long_english,province_english
Tân Uyên,Lai Châu,,,Tân Uyên,Tan Uyen,Tan Uyen,Lai Chau
Tân Yên,Bắc Giang,,,Tân Yên,Tan Yen,Tan Yen,Bac Giang
Tánh Linh,Bình Thuận,,,Tánh Linh,Tanh Linh,Tanh Linh,Binh Thuan
Tây Giang,Quảng Nam,,,Tây Giang,Tay Giang,Tay Giang,Quang Nam
Tây Hồ,Hà Nội,,,Tây Hồ,Tay Ho,Tay Ho,Ha Noi
Tây Hòa,Phú Yên,,,Tây Hòa,Tay Hoa,Tay Hoa,Phu Yen
Tây Ninh,Tây Ninh,Thành phố,City,Thành phố Tây Ninh,Tay Ninh,Tay Ninh City,Tay Ninh
Tây Sơn,Bình Định,,,Tây Sơn,Tay Son,Tay Son,Binh Dinh
Thạch An,Cao Bằng,,,Thạch An,Thach An,Thach An,Cao Bang
Thạch Hà,Hà Tĩnh,,,Thạch Hà,Thach Ha,Thach Ha,Ha Tinh
Thạch Thành,Thanh Hóa,,,Thạch Thành,Thach Thanh,Thach Thanh,Thanh Hoa
Thạch Thất,Hà Nội,,,Thạch Thất,Thach That,Thach That,Ha Noi
Thái Bình,Thái Bình,Thành phố,City,Thành phố Thái Bình,Thai Binh,Thai Binh City,Thai Binh
Thái Hòa,Nghệ An,Thị xã,Town,Thị xã Thái Hòa,Thai Hoa,Thai Hoa Town,Nghe An
Thái Nguyên,Thái Nguyên,Thành phố,City,Thành phố Thái Nguyên,Thai Nguyen,Thai Nguyen City,Thai Nguyen
Thái Thụy,Thái Bình,,,Thái Thụy,Thai Thuy,Thai Thuy,Thai Binh
Than Uyên,Lai Châu,,,Than Uyên,Than Uyen,Than Uyen,Lai Chau
Thăng Bình,Quảng Nam,,,Thăng Bình,Thang Binh,Thang Binh,Quang Nam
Thanh Ba,Phú Thọ,,,Thanh Ba,Thanh Ba,Thanh Ba,Phu Tho
Thanh Bình,Đồng Tháp,,,Thanh Bình,Thanh Binh,Thanh Binh,Dong Thap
Thanh Chương,Nghệ An,,,Thanh Chương,Thanh Chuong,Thanh Chuong,Nghe An
Thanh Hà,Hải Dương,,,Thanh Hà,Thanh Ha,Thanh Ha,Hai Duong
Thanh Hóa,Thanh Hóa,Thành phố,City,Thành phố Thanh Hóa,Thanh Hoa,Thanh Hoa City,Thanh Hoa
Thạnh Hóa,Long An,,,Thạnh Hóa,Thanh Hoa,Thanh Hoa,Long An
Thanh Khê,Đà Nẵng,,,Thanh Khê,Thanh Khe,Thanh Khe,Da Nang
Thanh Liêm,Hà Nam,,,Thanh Liêm,Thanh Liem,Thanh Liem,Ha Nam
Thanh Miện,Hải Dương,,,Thanh Miện,Thanh Mien,Thanh Mien,Hai Duong
Thanh Oai,Hà Nội,,,Thanh Oai,Thanh Oai,Thanh Oai,Ha Noi
Thạnh Phú,Bến Tre,,,Thạnh Phú,Thanh Phu,Thanh Phu,Ben Tre
Thanh Sơn,Phú Thọ,,,Thanh Sơn,Thanh Son,Thanh Son,Phu Tho
Thanh Thủy,Phú Thọ,,,Thanh Thủy,Thanh Thuy,Thanh Thuy,Phu Tho
Thanh Trì,Hà Nội,,,Thanh Trì,Thanh Tri,Thanh Tri,Ha Noi
Thạnh Trị,Sóc Trăng,,,Thạnh Trị,Thanh Tri,Thanh Tri,Soc Trang
Thanh Xuân,Hà Nội,,,Thanh Xuân,Thanh Xuan,Thanh Xuan,Ha Noi
Tháp Mười,Đồng Tháp,,,Tháp Mười,Thap Muoi,Thap Muoi,Dong Thap
Thiệu Hóa,Thanh Hóa,,,Thiệu Hóa,Thieu Hoa,Thieu Hoa,Thanh Hoa
Thọ Xuân,Thanh Hóa,,,Thọ Xuân,Tho Xuan,Tho Xuan,Thanh Hoa
Thoại Sơn,An Giang,,,Thoại Sơn,Thoai Son,Thoai Son,An Giang
Thới Bình,Cà Mau,,,Thới Bình,Thoi Binh,Thoi Binh,Ca Mau
Thới Lai,Cần Thơ,,,Thới Lai,Thoi Lai,Thoi Lai,Can Tho
Thống Nhất,Đồng Nai,,,Thống Nhất,Thong Nhat,Thong Nhat,Dong Nai
Thốt Nốt,Cần Thơ,,,Thốt Nốt,Thot Not,Thot Not,Can Tho
Thủ Dầu Một,Bình Dương,Thành phố,City,Thành phố Thủ Dầu Một,Thu Dau Mot,Thu Dau Mot City,Binh Duong
Thủ Đức,Hồ Chí Minh,Thành phố,City,Thành phố Thủ Đức,Thu Duc,Thu Duc City,Ho Chi Minh
Thủ Thừa,Long An,,,Thủ Thừa,Thu Thua,Thu Thua,Long An
Thuận An,Bình Dương,Thành phố,City,Thành phố Thuận An,Thuan An,Thuan An City,Binh Duong
Thuận Bắc,Ninh Thuận,,,Thuận Bắc,Thuan Bac,Thuan Bac,Ninh Thuan
Thuận Châu,Sơn La,,,Thuận Châu,Thuan Chau,Thuan Chau,Son La
Thuận Nam,Ninh Thuận,,,Thuận Nam,Thuan Nam,Thuan Nam,Ninh Thuan
Thuận Thành,Bắc Ninh,Thị xã,Town,Thị xã Thuận Thành,Thuan Thanh,Thuan Thanh Town,Bac Ninh
Thường Tín,Hà Nội,,,Thường Tín,Thuong Tin,Thuong Tin,Ha Noi
Thường Xuân,Thanh Hóa,,,Thường Xuân,Thuong Xuan,Thuong Xuan,Thanh Hoa
Thủy Nguyên,Hải Phòng,,,Thủy Nguyên,Thuy Nguyen,Thuy Nguyen,Hai Phong
Tiên Du,Bắc Ninh,,,Tiên Du,Tien Du,Tien Du,Bac Ninh
Tiền Hải,Thái Bình,,,Tiền Hải,Tien Hai,Tien Hai,Thai Binh
Tiên Lãng,Hải Phòng,,,Tiên Lãng,Tien Lang,Tien Lang,Hai Phong
Tiên Lữ,Hưng Yên,,,Tiên Lữ,Tien Lu,Tien Lu,Hung Yen
Tiên Phước,Quảng Nam,,,Tiên Phước,Tien Phuoc,Tien Phuoc,Quang Nam
Tiên Yên,Quảng Ninh,,,Tiên Yên,Tien Yen,Tien Yen,Quang Ninh
Tiểu Cần,Trà Vinh,,,Tiểu Cần,Tieu Can,Tieu Can,Tra Vinh
Tịnh Biên,An Giang,Thị xã,Town,Thị xã Tịnh Biên,Tinh Bien,Tinh Bien Town,An Giang
Trà Bồng,Quảng Ngãi,,,Trà Bồng,Tra Bong,Tra Bong,Quang Ngai
Trà Cú,Trà Vinh,,,Trà Cú,Tra Cu,Tra Cu,Tra Vinh
Trà Ôn,Vĩnh Long,,,Trà Ôn,Tra On,Tra On,Vinh Long
Trà Vinh,Trà Vinh,Thành phố,City,Thành phố Trà Vinh,Tra Vinh,Tra Vinh City,Tra Vinh
Trạm Tấu,Yên Bái,,,Trạm Tấu,Tram Tau,Tram Tau,Yen Bai
Trần Đề,Sóc Trăng,,,Trần Đề,Tran De,Tran De,Soc Trang
Trần Văn Thời,Cà Mau,,,Trần Văn Thời,Tran Van Thoi,Tran Van Thoi,Ca Mau
Trấn Yên,Yên Bái,,,Trấn Yên,Tran Yen,Tran Yen,Yen Bai
Trảng Bàng,Tây Ninh,Thị xã,Town,Thị xã Trảng Bàng,Trang Bang,Trang Bang Town,Tay Ninh
Trảng Bom,Đồng Nai,,,Trảng Bom,Trang Bom,Trang Bom,Dong Nai
Tràng Định,Lạng Sơn,,,Tràng Định,Trang Dinh,Trang Dinh,Lang Son
Tri Tôn,An Giang,,,Tri Tôn,Tri Ton,Tri Ton,An Giang
Triệu Phong,Quảng Trị,,,Triệu Phong,Trieu Phong,Trieu Phong,Quang Tri
Triệu Sơn,Thanh Hóa,,,Triệu Sơn,Trieu Son,Trieu Son,Thanh Hoa
Trực Ninh,Nam Định,,,Trực Ninh,Truc Ninh,Truc Ninh,Nam Dinh
Trùng Khánh,Cao Bằng,,,Trùng Khánh,Trung Khanh,Trung Khanh,Cao Bang
Trường Sa,Khánh Hòa,,,Trường Sa,Truong Sa,Truong Sa,Khanh Hoa
Tứ Kỳ,Hải Dương,,,Tứ Kỳ,Tu Ky,Tu Ky,Hai Duong
Tu Mơ Rông,Kon Tum,,,Tu Mơ Rông,Tu Mo Rong,Tu Mo Rong,Kon Tum
Tư Nghĩa,Quảng Ngãi,,,Tư Nghĩa,Tu Nghia,Tu Nghia,Quang Ngai
Từ Sơn,Bắc Ninh,Thành phố,City,Thành phố Từ Sơn,Tu Son,Tu Son City,Bac Ninh
Tủa Chùa,Điện Biên,,,Tủa Chùa,Tua Chua,Tua Chua,Dien Bien
Tuần Giáo,Điện Biên,,,Tuần Giáo,Tuan Giao,Tuan Giao,Dien Bien
Tương Dương,Nghệ An,,,Tương Dương,Tuong Duong,Tuong Duong,Nghe An
Tuy An,Phú Yên,,,Tuy An,Tuy An,Tuy An,Phu Yen
Tuy Đức,Đắk Nông,,,Tuy Đức,Tuy Duc,Tuy Duc,Dak Nong
Tuy Hòa,Phú Yên,Thành phố,City,Thành phố Tuy Hòa,Tuy Hoa,Tuy Hoa City,Phu Yen
Tuy Phong,Bình Thuận,,,Tuy Phong,Tuy Phong,Tuy Phong,Binh Thuan
Tuy Phước,Bình Định,,,Tuy Phước,Tuy Phuoc,Tuy Phuoc,Binh Dinh
Tuyên Hóa,Quảng Bình,,,Tuyên Hóa,Tuyen Hoa,Tuyen Hoa,Quang Binh
Tuyên Quang,Tuyên Quang,Thành phố,City,Thành phố Tuyên Quang,Tuyen Quang,Tuyen Quang City,Tuyen Quang
U Minh Thượng,Kiên Giang,,,U Minh Thượng,U Minh Thuong,U Minh Thuong,Kien Giang
U Minh,Cà Mau,,,U Minh,U Minh,U Minh,Ca Mau
Ứng Hòa,Hà Nội,,,Ứng Hòa,Ung Hoa,Ung Hoa,Ha Noi
Uông Bí,Quảng Ninh,Thành phố,City,Thành phố Uông Bí,Uong Bi,Uong Bi City,Quang Ninh
Văn Bàn,Lào Cai,,,Văn Bàn,Van Ban,Van Ban,Lao Cai
Vân Canh,Bình Định,,,Vân Canh,Van Canh,Van Canh,Binh Dinh
Văn Chấn,Yên Bái,,,Văn Chấn,Van Chan,Van Chan,Yen Bai
Vân Đồn,Quảng Ninh,,,Vân Đồn,Van Don,Van Don,Quang Ninh
Văn Giang,Hưng Yên,,,Văn Giang,Van Giang,Van Giang,Hung Yen
Vân Hồ,Sơn La,,,Vân Hồ,Van Ho,Van Ho,Son La
Văn Lâm,Hưng Yên,,,Văn Lâm,Van Lam,Van Lam,Hung Yen
Văn Lãng,Lạng Sơn,,,Văn Lãng,Van Lang,Van Lang,Lang Son
Vạn Ninh,Khánh Hòa,,,Vạn Ninh,Van Ninh,Van Ninh,Khanh Hoa
Văn Quan,Lạng Sơn,,,Văn Quan,Van Quan,Van Quan,Lang Son
Văn Yên,Yên Bái,,,Văn Yên,Van Yen,Van Yen,Yen Bai
Vị Thanh,Hậu Giang,Thành phố,City,Thành phố Vị Thanh,Vi Thanh,Vi Thanh City,Hau Giang
Vị Thủy,Hậu Giang,,,Vị Thủy,Vi Thuy,Vi Thuy,Hau Giang
Vị Xuyên,Hà Giang,,,Vị Xuyên,Vi Xuyen,Vi Xuyen,Ha Giang
Việt Trì,Phú Thọ,Thành phố,City,Thành phố Việt Trì,Viet Tri,Viet Tri City,Phu Tho
Việt Yên,Bắc Giang,Thị xã,Town,Thị xã Việt Yên,Viet Yen,Viet Yen Town,Bac Giang
Vĩnh Bảo,Hải Phòng,,,Vĩnh Bảo,Vinh Bao,Vinh Bao,Hai Phong
Vĩnh Châu,Sóc Trăng,Thị xã,Town,Thị xã Vĩnh Châu,Vinh Chau,Vinh Chau Town,Soc Trang
Vĩnh Cửu,Đồng Nai,,,Vĩnh Cửu,Vinh Cuu,Vinh Cuu,Dong Nai
Vĩnh Hưng,Long An,,,Vĩnh Hưng,Vinh Hung,Vinh Hung,Long An
Vĩnh Linh,Quảng Trị,,,Vĩnh Linh,Vinh Linh,Vinh Linh,Quang Tri
Vĩnh Lộc,Thanh Hóa,,,Vĩnh Lộc,Vinh Loc,Vinh Loc,Thanh Hoa
Vĩnh Lợi,Bạc Liêu,,,Vĩnh Lợi,Vinh Loi,Vinh Loi,Bac Lieu
Vĩnh Long,Vĩnh Long,Thành phố,City,Thành phố Vĩnh Long,Vinh Long,Vinh Long City,Vinh Long
Vĩnh Thạnh,Cần Thơ,,,Vĩnh Thạnh,Vinh Thanh,Vinh Thanh,Can Tho
Vĩnh Thạnh,Bình Định,,,Vĩnh Thạnh,Vinh Thanh,Vinh Thanh,Binh Dinh
Vĩnh Thuận,Kiên Giang,,,Vĩnh Thuận,Vinh Thuan,Vinh Thuan,Kien Giang
Vĩnh Tường,Vĩnh Phúc,,,Vĩnh Tường,Vinh Tuong,Vinh Tuong,Vinh Phuc
Vĩnh Yên,Vĩnh Phúc,Thành phố,City,Thành phố Vĩnh Yên,Vinh Yen,Vinh Yen City,Vinh Phuc
Vinh,Nghệ An,Thành phố,City,Thành phố Vinh,Vinh,Vinh City,Nghe An
Võ Nhai,Thái Nguyên,,,Võ Nhai,Vo Nhai,Vo Nhai,Thai Nguyen
Vụ Bản,Nam Định,,,Vụ Bản,Vu Ban,Vu Ban,Nam Dinh
Vũ Quang,Hà Tĩnh,,,Vũ Quang,Vu Quang,Vu Quang,Ha Tinh
Vũ Thư,Thái Bình,,,Vũ Thư,Vu Thu,Vu Thu,Thai Binh
Vũng Liêm,Vĩnh Long,,,Vũng Liêm,Vung Liem,Vung Liem,Vinh Long
Vũng Tàu,Bà Rịa - Vũng Tàu,Thành phố,City,Thành phố Vũng Tàu,Vung Tau,Vung Tau City,Ba Ria - Vung Tau
Xín Mần,Hà Giang,,,Xín Mần,Xin Man,Xin Man,Ha Giang
Xuân Lộc,Đồng Nai,,,Xuân Lộc,Xuan Loc,Xuan Loc,Dong Nai
Xuân Trường,Nam Định,,,Xuân Trường,Xuan Truong,Xuan Truong,Nam Dinh
Xuyên Mộc,Bà Rịa - Vũng Tàu,,,Xuyên Mộc,Xuyen Moc,Xuyen Moc,Ba Ria - Vung Tau
Ý Yên,Nam Định,,,Ý Yên,Y Yen,Y Yen,Nam Dinh
Yên Bái,Yên Bái,Thành phố,City,Thành phố Yên Bái,Yen Bai,Yen Bai City,Yen Bai
Yên Bình,Yên Bái,,,Yên Bình,Yen Binh,Yen Binh,Yen Bai
Yên Châu,Sơn La,,,Yên Châu,Yen Chau,Yen Chau,Son La
Yên Định,Thanh Hóa,,,Yên Định,Yen Dinh,Yen Dinh,Thanh Hoa
Yên Dũng,Bắc Giang,,,Yên Dũng,Yen Dung,Yen Dung,Bac Giang
Yên Khánh,Ninh Bình,,,Yên Khánh,Yen Khanh,Yen Khanh,Ninh Binh
Yên Lạc,Vĩnh Phúc,,,Yên Lạc,Yen Lac,Yen Lac,Vinh Phuc
Yên Lập,Phú Thọ,,,Yên Lập,Yen Lap,Yen Lap,Phu Tho
Yên Minh,Hà Giang,,,Yên Minh,Yen Minh,Yen Minh,Ha Giang
Yên Mô,Ninh Bình,,,Yên Mô,Yen Mo,Yen Mo,Ninh Binh
Yên Mỹ,Hưng Yên,,,Yên Mỹ,Yen My,Yen My,Hung Yen
Yên Phong,Bắc Ninh,,,Yên Phong,Yen Phong,Yen Phong,Bac Ninh
Yên Sơn,Tuyên Quang,,,Yên Sơn,Yen Son,Yen Son,Tuyen Quang
Yên Thành,Nghệ An,,,Yên Thành,Yen Thanh,Yen Thanh,Nghe An
Yên Thế,Bắc Giang,,,Yên Thế,Yen The,Yen The,Bac Giang
Yên Thủy,Hòa Bình,,,Yên Thủy,Yen Thuy,Yen Thuy,Hoa Binh
